numero_processo,nome_juiz,sentimento_medio,sentimento_mediano,qtd_movimentos,genero_juiz
00000021920238060293,Francisco Halisson de Araujo Vieira,2.1538461538461537,1.0,65,Masculino
00000685120188060203,Luiz Aldir Alves,2.0869565217391304,1.0,46,Indeterminado
00001447720118060217,Francisca Renata Bezerra Fernandes,2.0136986301369864,1.0,146,Feminino
00002078320198060165,José Arnaldo dos Santos Soares,2.11,1.0,100,Masculino
00002175520158060202,José Hélio Bernardo da Silva,2.231578947368421,3.0,95,Masculino
00005631420188060133,Carlos Jose Evangelista de Castro,2.1043478260869564,1.0,115,Masculino
00005904120168060044,Paulo Ricardo de Paula Pontes,1.7758620689655173,1.0,58,Masculino
00006037520198060063,Antonio Gutierre Vasconcelos da Cunha,2.2867132867132867,1.0,143,Masculino
00008673520188060158,Francisco Cesar Mariano,2.167832167832168,1.0,143,Masculino
00008874620198060140,Francisco Iranildo Moura dos Santos,2.0686274509803924,1.0,102,Masculino
00010532820198060092,Antonio de Deus Soares da Costa,2.238095238095238,1.0,63,Masculino
00013097120188060167,##ED,1.8888888888888888,1.0,45,Indeterminado
00013674620198060068,Maria Valnice Sampaio de Araújo,2.1666666666666665,1.0,54,Feminino
00016595920198060091,Ana Carolina Montenegro Cavalcanti,2.076923076923077,1.0,52,Feminino
00018376720138060010,,1.6363636363636365,1.0,77,Indeterminado
00020325220158060149,Antônio Daniel Gomes Araújo,2.090909090909091,1.0,88,Indeterminado
00025803820158060162,João Perón de Lima,2.1133333333333333,1.0,150,Masculino
00029433520158060094,Francisco Geovane Bernardo de França,1.935483870967742,1.0,93,Masculino
00029760920198060151,Francisco Madson Pinheiro do Nascimento,1.803680981595092,1.0,163,Masculino
00050125120148060134,Francisco Antônio de Souza Ribeiro,2.4096385542168677,3.0,83,Masculino
00050798420128060134,,2.5,3.0,74,Indeterminado
00055889720198060092,Antonio Marcos Alves de Oliveira,1.9107142857142858,1.0,56,Masculino
00057400720188060117,Fernanda Karlla Rodrigues Celestino,1.6971830985915493,1.0,142,Feminino
00058730820178060142,,2.2142857142857144,2.0,28,Indeterminado
00068127620168060124,Mana,2.5,3.0,68,Feminino
00074147520188060131,Antônio Anastácio dos Santos,1.925531914893617,1.0,94,Indeterminado
00075319620178060100,Cláudia Waleska Mattos Mascarenhas,2.0729166666666665,1.5,96,Feminino
00075709620108060049,Diego Henrique Lima do Nascimento,1.8934426229508197,1.0,122,Masculino
00086696620168060122,Francisco Nardeli Macêdo Campos,2.142857142857143,1.0,70,Masculino
00100044520208060037,Ath,1.8620689655172413,1.0,58,Indeterminado
00100406420208060077,Antônio Edilberto Oliveira Lima,1.8155339805825244,1.0,103,Indeterminado
00100603120218060203,,1.8823529411764706,1.0,17,Indeterminado
00100631020208060077,,2.5,2.5,8,Indeterminado
00100926420248060095,,2.0,1.0,8,Indeterminado
00101091220218060126,Carolina Vilela Chaves Marcolino,1.7272727272727273,1.0,11,Feminino
00101108120208060077,,3.3333333333333335,4.0,6,Indeterminado
